"gvkey","iid","datadate","conm","cshoc","cshtrd","prccd","isin","fic","sic","Month","ILLIQ",,
15598,"01W",20010202,"AEGON NV",1350523905,4363527,39.85,"NL0000303709","NLD",6311,200102,0.000172526,,
15598,"01W",20010205,"AEGON NV",1350523905,6125608,40.93,"NL0000303709","NLD",6311,200102,0.004307575,0.00189775466666667,
15598,"01W",20010301,"AEGON NV",1350587405,9676420,37.76,"NL0000303709","NLD",6311,200103,0.001231589,,
15598,"01W",20010302,"AEGON NV",1350587405,7758604,37.29,"NL0000303709","NLD",6311,200103,0.001624508,,
15598,"01W",20010305,"AEGON NV",1350587405,6856222,36.36,"NL0000303709","NLD",6311,200103,0.003730561,0.00219555266666667,
15598,"01W",20010402,"AEGON NV",1350587405,5074248,33.57,"NL0000303709","NLD",6311,200104,0.00123281,,
15598,"01W",20010403,"AEGON NV",1350587405,8407427,31.22,"NL0000303709","NLD",6311,200104,0.008953067,,
15598,"01W",20010404,"AEGON NV",1350587405,5815668,31.3,"NL0000303709","NLD",6311,200104,0.000439487,0.003541788,
15598,"01W",20010501,"AEGON NV",1350766105,4175915,37.59,"NL0000303709","NLD",6311,200105,"6.37054E-05",,
15598,"01W",20010502,"AEGON NV",1350766105,6672923,38.27,"NL0000303709","NLD",6311,200105,0.002662774,,
15598,"01W",20010503,"AEGON NV",1350766105,17175950,35.6,"NL0000303709","NLD",6311,200105,0.004366571,0.0035146725,"WRONG"
15617,"01W",20001201,"ING GROEP NV",977474748,615,84.5,,"NLD",6311,200012,1443.209698,,
15617,"01W",20001204,"ING GROEP NV",977474748,2298,82.05,,"NLD",6311,200012,12.9938388,,
15617,"01W",20001205,"ING GROEP NV",977474748,2341,84.9,,"NLD",6311,200012,14.33955771,,
15617,"01W",20001206,"ING GROEP NV",977474748,1145,84.3,,"NLD",6311,200012,6.216102814,,
15617,"01W",20001207,"ING GROEP NV",977474748,221,82.05,,"NLD",6311,200012,124.0828211,,
15617,"01W",20001208,"ING GROEP NV",977474748,498,83.35,,"NLD",6311,200012,31.3190374,272.026842637333,
16383,"01W",20001201,"UNIBAIL RODAMCO",16020857,9685,166,"FR0000124711","FRA",6512,200012,94.62527446,,
16383,"01W",20001204,"UNIBAIL RODAMCO",16020857,8934,165,"FR0000124711","FRA",6512,200012,0.678375427,47.6518249435,
16383,"01W",20010102,"UNIBAIL RODAMCO",16020857,9666,169,"FR0000124711","FRA",6512,200101,0.428513536,,
16383,"01W",20010103,"UNIBAIL RODAMCO",16020857,20387,170,"FR0000124711","FRA",6512,200101,0.288534504,,
16383,"01W",20010104,"UNIBAIL RODAMCO",16020857,51750,169,"FR0000124711","FRA",6512,200101,0.114341251,,
16383,"01W",20010105,"UNIBAIL RODAMCO",16020857,22503,170.1,"FR0000124711","FRA",6512,200101,0.287374317,0.279690902,
16383,"01W",20010221,"UNIBAIL RODAMCO",16052881,11170,192.4,"FR0000124711","FRA",6512,200102,0.32571653,,
16383,"01W",20010222,"UNIBAIL RODAMCO",16052881,20751,193.9,"FR0000124711","FRA",6512,200102,0.372798726,,
16383,"01W",20010223,"UNIBAIL RODAMCO",16052881,31662,191,"FR0000124711","FRA",6512,200102,0.479541598,,
16383,"01W",20010226,"UNIBAIL RODAMCO",16052881,17299,191.9,"FR0000124711","FRA",6512,200102,0.271110624,,
16383,"01W",20010227,"UNIBAIL RODAMCO",16052881,33787,192,"FR0000124711","FRA",6512,200102,0.015415199,,
16383,"01W",20010228,"UNIBAIL RODAMCO",16052881,27545,190,"FR0000124711","FRA",6512,200102,0.382149784,0.3077887435,
16383,"01W",20010321,"UNIBAIL RODAMCO",16052881,72035,179.3,"FR0000124711","FRA",6512,200103,0.255499521,,
16383,"01W",20010322,"UNIBAIL RODAMCO",16052881,50504,172.6,"FR0000124711","FRA",6512,200103,0.768613901,,
16383,"01W",20010323,"UNIBAIL RODAMCO",16052881,26430,172.7,"FR0000124711","FRA",6512,200103,0.021908392,,
16383,"01W",20010326,"UNIBAIL RODAMCO",16052881,13315,174.7,"FR0000124711","FRA",6512,200103,0.859796989,,
16383,"01W",20010327,"UNIBAIL RODAMCO",16052881,28545,181.4,"FR0000124711","FRA",6512,200103,1.29392014,,
16383,"01W",20010328,"UNIBAIL RODAMCO",16052881,59893,177.1,"FR0000124711","FRA",6512,200103,0.405390743,,
16383,"01W",20010329,"UNIBAIL RODAMCO",16052881,84584,177.2,"FR0000124711","FRA",6512,200103,0.006671877,,
16383,"01W",20010330,"UNIBAIL RODAMCO",16052881,20017,179.1,"FR0000124711","FRA",6512,200103,0.529979445,0.517722626,
16383,"01W",20020826,"UNIBAIL RODAMCO",46981419,5225,63.3,"FR0000124711","FRA",6512,200208,1.965275101,,
16383,"01W",20020827,"UNIBAIL RODAMCO",46981419,43740,62.8,"FR0000124711","FRA",6512,200208,0.182025227,,
16383,"01W",20020828,"UNIBAIL RODAMCO",46981419,54106,61.5,"FR0000124711","FRA",6512,200208,0.390681466,,
16383,"01W",20020829,"UNIBAIL RODAMCO",46981419,62546,61.5,"FR0000124711","FRA",6512,200208,0,,
16383,"01W",20020830,"UNIBAIL RODAMCO",46981419,35967,61.4,"FR0000124711","FRA",6512,200208,0.045282189,0.5166527966,
16383,"01W",20020902,"UNIBAIL RODAMCO",46981419,42943,61.5,"FR0000124711","FRA",6512,200209,0.037864524,,
16383,"01W",20020903,"UNIBAIL RODAMCO",46981419,66665,61.6,"FR0000124711","FRA",6512,200209,0.024351258,,
16383,"01W",20020904,"UNIBAIL RODAMCO",46981419,81262,63,"FR0000124711","FRA",6512,200209,0.273463885,,
16383,"01W",20020905,"UNIBAIL RODAMCO",46981419,169858,63,"FR0000124711","FRA",6512,200209,0,,
16383,"01W",20020906,"UNIBAIL RODAMCO",46981419,53505,63.15,"FR0000124711","FRA",6512,200209,0.044393924,,
16383,"01W",20020909,"UNIBAIL RODAMCO",46981419,117876,64.5,"FR0000124711","FRA",6512,200209,0.177561442,0.0929391721666667,3.40489761225806
